
 For  Li(  6) - Li(  6)
 ----------------------
   v       E            Bv           -Dv             Hv             Lv            Mv             Nv             Ov
  45   -477.1922  0.1406460979 -8.7708289D-06  1.2119519D-11 -6.2120679D-15 -4.0261194D-19 -4.6636606D-23 -5.8217224D-27
  46   -434.3933  0.1330777034 -8.6708114D-06  1.5213933D-11 -6.3675595D-15 -4.4931136D-19 -5.3028376D-23 -6.6951675D-27
  47   -394.7624  0.1257320898 -8.5567827D-06  1.8197200D-11 -6.5761989D-15 -5.0020636D-19 -6.0099140D-23 -7.7549090D-27
  48   -358.1336  0.1186206475 -8.4299394D-06  2.0947261D-11 -6.8352548D-15 -5.5472026D-19 -6.7836095D-23 -8.8444907D-27
  49   -324.3410  0.1117523112 -8.2916288D-06  2.3370035D-11 -7.1382274D-15 -6.1211610D-19 -7.6540898D-23 -1.0421943D-26
  50   -293.2206  0.1051336097 -8.1432743D-06  2.5402337D-11 -7.4775668D-15 -6.7238567D-19 -8.5987956D-23 -1.1657151D-26
  51   -264.6109  0.0987687966 -7.9863068D-06  2.7014109D-11 -7.8426944D-15 -7.3498285D-19 -9.6953438D-23 -1.3876904D-26
  52   -238.3548  0.0926600489 -7.8221057D-06  2.8203621D-11 -8.2252472D-15 -8.0070078D-19 -1.0913209D-22 -1.5846775D-26
  53   -214.2997  0.0868077011 -7.6519552D-06  2.8994821D-11 -8.6159859D-15 -8.6981491D-19 -1.2324022D-22 -1.8609119D-26
  54   -192.2990  0.0812105021 -7.4770147D-06  2.9429966D-11 -9.0079596D-15 -9.4322486D-19 -1.3976545D-22 -2.2498273D-26
  55   -172.2116  0.0758658719 -7.2983037D-06  2.9562822D-11 -9.3976645D-15 -1.0227229D-18 -1.5820767D-22 -2.5743883D-26
  56   -153.9031  0.0707701423 -7.1166991D-06  2.9454654D-11 -9.7810559D-15 -1.1090302D-18 -1.7984537D-22 -3.0338361D-26
  57   -137.2456  0.0659187775 -6.9329411D-06  2.9167159D-11 -1.0157663D-14 -1.2038056D-18 -2.0495515D-22 -3.5979743D-26
  58   -122.1178  0.0613065644 -6.7476460D-06  2.8760552D-11 -1.0525985D-14 -1.3073759D-18 -2.3599445D-22 -4.7164046D-26
  59   -108.4047  0.0569277756 -6.5613206D-06  2.8286131D-11 -1.0894839D-14 -1.4250568D-18 -2.6776829D-22 -5.0875721D-26
  60    -95.9980  0.0527762954 -6.3743837D-06  2.7795596D-11 -1.1257221D-14 -1.5532253D-18 -3.0980189D-22 -6.7381501D-26
  61    -84.7956  0.0488457342 -6.1871760D-06  2.7324812D-11 -1.1628505D-14 -1.7004941D-18 -3.5128996D-22 -7.0021670D-26
  62    -74.7014  0.0451295025 -5.9999831D-06  2.6912024D-11 -1.2001268D-14 -1.8627711D-18 -4.0421228D-22 -8.4118519D-26
  63    -65.6255  0.0416208817 -5.8130435D-06  2.6585461D-11 -1.2377379D-14 -2.0410375D-18 -4.7274478D-22 -1.1768085D-25
